iter	Passed	Remaining
0	0	38
1	0	36
2	1	35
3	1	36
4	1	35
5	2	34
6	2	33
7	2	33
8	3	32
9	3	32
10	3	32
11	4	31
12	4	31
13	5	30
14	5	30
15	5	29
16	6	29
17	6	28
18	6	28
19	6	27
20	7	27
21	7	27
22	7	26
23	8	26
24	8	26
25	8	25
26	9	25
27	9	25
28	10	25
29	10	25
30	11	24
31	11	24
32	11	24
33	12	23
34	12	23
35	13	23
36	13	23
37	13	22
38	14	22
39	14	22
40	15	21
41	15	21
42	15	20
43	16	20
44	16	20
45	16	19
46	17	19
47	17	19
48	18	18
49	18	18
50	18	18
51	19	17
52	19	17
53	20	17
54	20	16
55	20	16
56	21	16
57	21	15
58	21	15
59	22	14
60	22	14
61	23	14
62	23	13
63	24	13
64	24	13
65	24	12
66	25	12
67	25	12
68	26	11
69	26	11
70	26	11
71	27	10
72	27	10
73	28	9
74	29	9
75	29	9
76	30	8
77	30	8
78	31	8
79	31	7
80	31	7
81	32	7
82	32	6
83	33	6
84	33	5
85	33	5
86	34	5
87	34	4
88	34	4
89	35	3
90	35	3
91	36	3
92	36	2
93	36	2
94	37	1
95	37	1
96	38	1
97	38	0
98	38	0
99	39	0
