iter	Passed	Remaining
0	59	59574
1	59	29904
2	60	20018
3	60	15066
4	60	12098
5	61	10116
6	61	8700
7	61	7640
8	61	6813
9	62	6153
10	62	5611
11	62	5162
12	62	4781
13	63	4452
14	63	4169
15	63	3924
16	64	3710
17	64	3518
18	64	3347
19	65	3192
20	65	3054
21	65	2927
22	66	2809
23	66	2701
24	66	2601
25	67	2510
26	67	2424
27	67	2345
28	67	2272
29	68	2203
30	68	2139
31	68	2079
32	69	2022
33	69	1969
34	69	1919
35	69	1872
36	70	1827
37	70	1785
38	70	1744
39	71	1706
40	71	1670
41	71	1636
42	72	1604
43	72	1571
44	72	1540
45	72	1510
46	73	1482
47	73	1457
48	73	1433
49	74	1409
50	74	1386
51	74	1364
52	75	1342
53	75	1321
54	75	1301
55	76	1282
56	76	1264
57	76	1245
58	77	1228
59	77	1212
60	77	1196
61	78	1181
62	78	1166
63	78	1151
64	79	1137
65	79	1124
66	79	1111
67	80	1098
68	80	1085
69	80	1073
70	81	1061
71	81	1050
72	81	1038
73	82	1028
74	82	1016
75	82	1005
76	83	995
77	83	985
78	83	976
79	84	966
80	84	957
81	84	948
82	84	937
83	85	929
84	85	920
85	85	912
86	86	904
87	86	897
88	86	889
89	87	882
90	87	874
91	87	867
92	88	861
93	88	855
94	89	848
95	89	841
96	89	835
97	90	828
98	90	822
99	90	817
100	91	813
101	91	807
102	92	801
103	92	796
104	92	790
105	93	786
106	93	781
107	93	776
108	94	774
109	95	774
110	97	778
111	97	774
112	98	770
113	98	767
114	99	764
115	100	765
116	101	763
117	101	758
118	101	753
119	102	749
120	102	746
121	103	743
122	103	740
123	104	737
124	104	734
125	105	731
126	105	726
127	106	724
128	107	722
129	107	719
130	108	716
131	108	713
132	108	710
133	109	706
134	109	703
135	110	699
136	110	696
137	110	693
138	111	689
139	112	692
140	114	696
141	114	691
142	115	689
143	115	688
144	116	686
145	117	684
146	117	683
147	118	679
148	118	676
149	118	672
150	119	669
151	119	666
152	119	662
153	120	662
154	121	662
155	121	659
156	122	658
157	123	656
158	123	653
159	123	650
160	124	647
161	124	644
162	124	640
163	125	637
164	125	634
165	125	631
166	126	628
167	126	626
168	126	623
169	127	620
170	127	617
171	127	614
172	127	611
173	128	609
174	128	606
175	128	603
176	129	600
177	129	598
178	129	595
179	130	593
180	130	590
181	130	587
182	131	585
183	131	582
184	131	580
185	132	578
186	132	575
187	132	573
188	133	570
189	133	568
190	133	566
191	134	564
192	134	561
193	134	559
194	135	557
195	135	555
196	135	553
197	136	551
198	136	548
199	136	546
200	137	544
201	137	542
202	137	540
203	137	538
204	138	536
205	138	534
206	138	532
207	139	530
208	140	530
209	140	528
210	141	528
211	141	527
212	142	525
213	142	523
214	143	522
215	143	521
216	144	521
217	145	520
218	145	519
219	146	519
220	147	518
221	147	517
222	148	516
223	148	515
224	149	514
225	149	512
226	150	511
227	150	510
228	151	509
229	152	509
230	153	509
231	153	507
232	153	506
233	154	505
234	154	504
235	155	503
236	156	503
237	156	501
238	157	499
239	157	498
240	158	498
241	168	529
242	169	527
243	169	525
244	170	523
245	170	522
246	170	520
247	171	518
248	171	516
249	171	515
250	172	513
251	172	511
252	172	509
253	173	508
254	173	506
255	173	504
256	174	503
257	174	501
258	174	499
259	175	498
260	175	496
261	175	495
262	176	493
263	176	491
264	176	490
265	177	488
266	177	486
267	177	485
268	178	483
269	178	482
270	178	480
271	179	479
272	179	477
273	179	476
274	180	474
275	180	473
276	180	471
277	181	470
278	181	469
279	181	467
280	182	466
281	182	464
282	182	463
283	183	461
284	183	460
285	183	459
286	184	457
287	184	456
288	184	454
289	185	453
290	185	452
291	185	450
292	186	449
293	186	448
294	186	446
295	187	445
296	187	444
297	188	442
298	196	460
299	196	459
300	197	458
301	197	457
302	198	455
303	198	454
304	198	452
305	199	451
306	199	450
307	199	448
308	200	447
309	200	445
310	200	444
311	200	443
312	201	441
313	201	440
314	202	439
315	202	438
316	202	436
317	203	436
318	207	442
319	208	442
320	213	451
321	214	450
322	215	451
323	215	450
324	216	449
325	216	448
326	217	447
327	217	446
328	218	445
329	219	444
330	219	443
331	220	443
332	220	442
333	221	441
334	221	440
335	222	439
336	222	437
337	223	437
338	223	436
339	224	435
340	225	434
341	225	433
342	226	433
343	226	432
344	227	431
345	227	430
346	227	428
347	228	427
348	228	426
349	229	425
350	229	424
351	229	423
352	230	422
353	231	421
354	231	420
355	232	419
356	232	418
357	233	419
358	234	418
359	234	417
360	235	416
361	235	415
362	236	414
363	238	417
364	239	417
365	240	416
366	241	415
367	241	414
368	242	413
369	242	413
370	243	412
371	243	411
372	243	410
373	244	409
374	245	408
375	245	408
376	246	407
377	246	406
378	247	405
379	247	404
380	248	403
381	248	402
382	248	401
383	249	400
384	249	399
385	250	398
386	251	397
387	251	396
388	251	395
389	252	394
390	252	393
391	252	391
392	253	390
393	253	389
394	253	388
395	254	387
396	254	386
397	254	385
398	255	384
399	255	383
400	255	381
401	256	380
402	256	379
403	256	378
404	257	377
405	257	376
406	257	375
407	258	374
408	258	373
409	258	372
410	259	371
411	259	370
412	259	369
413	260	368
414	260	367
415	261	366
416	262	366
417	263	366
418	264	366
419	264	365
420	265	364
421	265	363
422	265	362
423	266	361
424	266	361
425	268	361
426	268	360
427	269	359
428	269	358
429	269	357
430	270	356
431	270	355
432	270	354
433	271	353
434	271	353
435	272	352
436	272	351
437	273	350
438	273	350
439	274	349
440	274	348
441	275	348
442	276	347
